answer,count
14.93,3
15.7,3
16.84,3
16.85,3
17.46,3
18.22,3
18.9,3
19.83,3
20.52,3
12.96,2
13.9,2
13.98,2
14.71,2
14.96,2
15.15,2
15.18,2
15.34,2
15.51,2
15.79,2
16.02,2
16.07,2
16.17,2
16.21,2
16.33,2
16.39,2
16.58,2
16.62,2
16.67,2
16.95,2
17.12,2
17.27,2
17.31,2
17.48,2
17.53,2
17.57,2
17.84,2
18.17,2
18.18,2
18.29,2
18.32,2
18.59,2
18.6,2
18.61,2
18.7,2
18.75,2
18.77,2
18.89,2
19.04,2
19.07,2
19.34,2
19.54,2
19.65,2
19.86,2
19.98,2
20.13,2
20.2,2
20.22,2
20.25,2
20.26,2
20.7,2
20.74,2
20.76,2
21.25,2
21.41,2
21.46,2
21.53,2
21.54,2
21.59,2
21.6,2
21.68,2
21.84,2
22.15,2
22.22,2
22.44,2
23.21,2
23.29,2
23.95,2
23.97,2
24.49,2
25.42,2
27.15,2
10.38,1
10.72,1
10.82,1
10.89,1
10.91,1
10.94,1
11.28,1
11.79,1
11.89,1
11.97,1
12.17,1
12.22,1
12.27,1
12.35,1
12.39,1
12.44,1
12.71,1
12.74,1
12.83,1
12.84,1
12.87,1
12.88,1
12.91,1
13.04,1
13.06,1
13.08,1
13.1,1
13.12,1
13.14,1
13.16,1
13.17,1
13.21,1
13.23,1
13.27,1
13.29,1
13.32,1
13.37,1
13.39,1
13.43,1
13.44,1
13.47,1
13.66,1
13.72,1
13.78,1
13.84,1
13.86,1
13.93,1
14.02,1
14.06,1
14.07,1
14.08,1
14.09,1
14.11,1
14.16,1
14.23,1
14.26,1
14.34,1
14.36,1
14.4,1
14.44,1
14.45,1
14.59,1
14.63,1
14.64,1
14.65,1
14.69,1
14.7,1
14.74,1
14.76,1
14.78,1
14.83,1
14.86,1
14.88,1
14.92,1
14.95,1
14.97,1
14.98,1
15.04,1
15.05,1
15.1,1
15.11,1
15.21,1
15.24,1
15.39,1
15.45,1
15.46,1
15.49,1
15.5,1
15.56,1
15.6,1
15.62,1
15.65,1
15.66,1
15.67,1
15.68,1
15.69,1
15.71,1
15.73,1
15.76,1
15.82,1
15.83,1
15.86,1
15.9,1
15.91,1
15.92,1
15.94,1
15.98,1
16.03,1
16.15,1
16.16,1
16.18,1
16.32,1
16.34,1
16.35,1
16.4,1
16.41,1
16.49,1
16.52,1
16.54,1
16.68,1
16.7,1
16.74,1
16.82,1
16.83,1
16.93,1
16.94,1
16.99,1
17,1
17.02,1
17.05,1
17.07,1
17.08,1
17.15,1
17.18,1
17.19,1
17.2,1
17.21,1
17.25,1
17.26,1
17.3,1
17.33,1
17.35,1
17.36,1
17.39,1
17.43,1
17.52,1
17.56,1
17.6,1
17.62,1
17.64,1
17.66,1
17.67,1
17.68,1
17.72,1
17.77,1
17.88,1
17.89,1
17.91,1
17.92,1
17.93,1
17.94,1
18,1
18.02,1
18.03,1
18.05,1
18.06,1
18.07,1
18.1,1
18.14,1
18.15,1
18.16,1
18.19,1
18.24,1
18.3,1
18.33,1
18.35,1
18.36,1
18.4,1
18.42,1
18.45,1
18.47,1
18.49,1
18.52,1
18.54,1
18.57,1
18.58,1
18.66,1
18.68,1
18.8,1
18.82,1
18.83,1
18.84,1
18.87,1
18.91,1
18.94,1
18.95,1
19.02,1
19.08,1
19.1,1
19.11,1
19.12,1
19.13,1
19.22,1
19.24,1
19.29,1
19.31,1
19.32,1
19.33,1
19.35,1
19.38,1
19.4,1
19.46,1
19.48,1
19.51,1
19.56,1
19.59,1
19.6,1
19.62,1
19.63,1
19.66,1
19.67,1
19.73,1
19.76,1
19.77,1
19.82,1
19.89,1
19.94,1
19.96,1
19.97,1
20.01,1
20.02,1
20.04,1
20.11,1
20.18,1
20.19,1
20.21,1
20.28,1
20.31,1
20.38,1
20.39,1
20.53,1
20.54,1
20.56,1
20.58,1
20.66,1
20.67,1
20.68,1
20.71,1
20.78,1
20.82,1
20.83,1
20.86,1
20.97,1
20.98,1
20.99,1
21,1
21.01,1
21.02,1
21.08,1
21.17,1
21.24,1
21.26,1
21.28,1
21.31,1
21.35,1
21.37,1
21.38,1
21.43,1
21.48,1
21.51,1
21.56,1
21.57,1
21.58,1
21.7,1
21.72,1
21.78,1
21.8,1
21.81,1
21.82,1
21.87,1
21.88,1
21.9,1
21.91,1
21.94,1
21.97,1
21.98,1
22.02,1
22.04,1
22.07,1
22.11,1
22.13,1
22.14,1
22.28,1
22.29,1
22.3,1
22.33,1
22.39,1
22.41,1
22.47,1
22.49,1
22.53,1
22.54,1
22.55,1
22.61,1
22.68,1
22.72,1
22.76,1
22.91,1
23.03,1
23.04,1
23.06,1
23.09,1
23.12,1
23.2,1
23.23,1
23.24,1
23.33,1
23.5,1
23.56,1
23.75,1
23.77,1
23.81,1
23.84,1
23.86,1
23.93,1
23.94,1
23.98,1
24.02,1
24.04,1
24.21,1
24.27,1
24.44,1
24.48,1
24.52,1
24.54,1
24.59,1
24.68,1
24.69,1
24.8,1
24.81,1
24.89,1
24.91,1
24.98,1
24.99,1
25,1
25.09,1
25.11,1
25.12,1
25.13,1
25.2,1
25.22,1
25.25,1
25.27,1
25.44,1
25.49,1
25.56,1
25.74,1
26.27,1
26.29,1
26.47,1
26.57,1
26.6,1
26.67,1
26.83,1
26.86,1
26.97,1
26.99,1
27.06,1
27.08,1
27.54,1
27.61,1
27.81,1
27.85,1
27.88,1
28.03,1
28.06,1
28.08,1
28.14,1
28.2,1
28.21,1
28.23,1
28.25,1
28.77,1
28.92,1
29.29,1
29.33,1
29.37,1
29.43,1
29.81,1
29.97,1
30.62,1
30.72,1
31.12,1
32.47,1
33.56,1
33.81,1
39.28,1
9.71,1
