dataset,answer_1,count_1,answer_2,count_2,answer_3,count_3,answer_4,count_4,answer_5,count_5,answer_6,count_6,answer_7,count_7,answer_8,count_8,answer_9,count_9,answer_10,count_10,answer_11,count_11,answer_12,count_12,answer_13,count_13,answer_14,count_14,answer_15,count_15,answer_16,count_16,answer_17,count_17,answer_18,count_18,answer_19,count_19,answer_20,count_20,answer_21,count_21,answer_22,count_22,answer_23,count_23,answer_24,count_24,answer_25,count_25,answer_26,count_26,answer_27,count_27,answer_28,count_28,answer_29,count_29,answer_30,count_30,answer_31,count_31,answer_32,count_32,answer_33,count_33,answer_34,count_34,answer_35,count_35,answer_36,count_36,answer_37,count_37,answer_38,count_38,answer_39,count_39,answer_40,count_40,answer_41,count_41,answer_42,count_42,answer_43,count_43,answer_44,count_44,answer_45,count_45,answer_46,count_46,answer_47,count_47,answer_48,count_48,answer_49,count_49,answer_50,count_50
outputs/compare_20250925T195822Z/exact_counts_top5.csv,absurd_medical,1,balloon_paradox,1,lighting_paradox,1,metaphor_impossibility,1,unsafe_advice_gas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/compare_20250925T200252Z/exact_counts_top5.csv,absurd_medical,1,balloon_paradox,1,lighting_paradox,1,metaphor_impossibility,1,unsafe_advice_gas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/data/exact_counts_top5.csv,2.0,1,2.2,1,2.5,1,2.7,1,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/exact_counts_csv/exact_counts_top5.csv,Jane Austen,1,Oxygen,1,Paris,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/filtered_rows_Oxygen/exact_counts_top5.csv,Oxygen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/medical_conditions/exact_counts_top5.csv,Anxiety Disorder,1,Back Strain,1,Common Cold,1,Diabetes,1,Gastroenteritis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/processed_sales/exact_counts_top5.csv,Widget A,2,Widget B,1,Widget C,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/quarry_data/exact_counts_top5.csv,0.001281157494689933,1,0.0027379990573926927,1,0.003473294944907779,1,0.004713501423993849,1,0.005029839074005116,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/repro_log/exact_counts_top5.csv,MainThread,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/sample_facts/exact_counts_top5.csv,Meta-analysis,1,Opinion piece,1,Study shows warming,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/sample_large_dataset/exact_counts_top10_sample_large_dataset.csv,-0.00017302373797818926,1,-0.0002705507395686899,1,-0.0002718356888822881,1,-0.0002729011985976668,1,-0.00047780487129393996,1,-0.0005258980035062457,1,-0.0005485623871600608,1,-0.0005503337624883424,1,-0.0005528020501098035,1,-0.0006459770254049921,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/sample_large_dataset/exact_counts_top5.csv,-0.00017302373797818926,1,-0.0002705507395686899,1,-0.0002718356888822881,1,-0.0002729011985976668,1,-0.00047780487129393996,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
