answer,count
0x10391ec9,1
0x105ded1e,1
0x10696512,1
0x107cbbf8,1
0x10dd9e0f,1
0x11941591,1
0x11e15814,1
0x121281f,1
0x12e56e6d,1
0x130b086b,1
0x1320c0ec,1
0x1338583e,1
0x13455966,1
0x13a34ac2,1
0x1432cf69,1
0x14365d7f,1
0x143fa54b,1
0x144f150d,1
0x1465b694,1
0x1477cce5,1
0x14c237be,1
0x14e57a26,1
0x14f4345,1
0x14fd567c,1
0x15205892,1
0x1598bafe,1
0x15b79618,1
0x15d322d0,1
0x15f010b0,1
0x15ff7696,1
0x16027520,1
0x16134872,1
0x1693721b,1
0x1697f265,1
0x16cf6afb,1
0x16fd4a38,1
0x175a6655,1
0x17ddee72,1
0x17e9380b,1
0x17ee510a,1
0x17f64d77,1
0x18196cca,1
0x1848f9d9,1
0x18536554,1
0x18aa9207,1
0x18b32373,1
0x19431455,1
0x194caf71,1
0x19e034fc,1
0x1a12a0db,1
0x1a196325,1
0x1a9d8c33,1
0x1af1dd17,1
0x1b8b3286,1
0x1bb20209,1
0x1bb71a8f,1
0x1c203fea,1
0x1c2e97d1,1
0x1c74f54e,1
0x1c785c77,1
0x1c7ff4ed,1
0x1cc94806,1
0x1d07dc3f,1
0x1d13c804,1
0x1d166ba6,1
0x1d4efea6,1
0x1d50ab88,1
0x1da79ac,1
0x1ed78539,1
0x1ed8abe4,1
0x1f0c2d89,1
0x1f0e93d0,1
0x1f513265,1
0x1fde665a,1
0x1fe442fb,1
0x209e6e1,1
0x2118ba19,1
0x2122eb68,1
0x2139ce91,1
0x21876b4a,1
0x2236bd7,1
0x229e80a4,1
0x23172734,1
0x23250bec,1
0x23704cc8,1
0x23aebf83,1
0x23c4103e,1
0x242677c0,1
0x245cc68,1
0x24782da4,1
0x248d3453,1
0x24ce3709,1
0x24db4d2d,1
0x250ea09a,1
0x251853c6,1
0x25c11615,1
0x264b200b,1
0x270b6082,1
0x275fab1a,1
0x27693e76,1
0x27d98c96,1
0x27f2f8c4,1
0x27f54f26,1
0x29077976,1
0x29328399,1
0x2947fad5,1
0x294cb597,1
0x29dccf41,1
0x2a178d2a,1
0x2a2c7e8f,1
0x2a3c713b,1
0x2aa02de,1
0x2acc3491,1
0x2b217a5b,1
0x2b82e42f,1
0x2b82fc4b,1
0x2b86ef64,1
0x2bd0ecd6,1
0x2be2c63d,1
0x2bec88c7,1
0x2c4f22c6,1
0x2c70fc23,1
0x2cba4b3b,1
0x2cd30932,1
0x2d0a50e3,1
0x2dae02b9,1
0x2db5e540,1
0x2e3253b7,1
0x2eef3a60,1
0x2f5c59cb,1
0x2f81ec95,1
0x2f86eca1,1
0x2f92034e,1
0x2fbf3886,1
0x2fe05792,1
0x2fe3b150,1
0x3028897c,1
0x3180a8a1,1
0x3184c790,1
0x31fb524d,1
0x32248d1c,1
0x32282fe0,1
0x329c2068,1
0x32bab1c4,1
0x32bd6d8d,1
0x32d4a5af,1
0x32dabdb3,1
0x3303f2ec,1
0x33560361,1
0x3377556e,1
0x347dd115,1
0x348e90df,1
0x34c87166,1
0x34f90098,1
0x3551f189,1
0x356dfb4f,1
0x36246f07,1
0x363fbbc3,1
0x3662ca09,1
0x36d0bbbf,1
0x36e335fa,1
0x373fa9ce,1
0x375aa401,1
0x37675644,1
0x3884d452,1
0x389b20de,1
0x38d2a6ff,1
0x391d89d7,1
0x393e846b,1
0x39552432,1
0x39ea47ec,1
0x3a52d73d,1
0x3a7bfa3e,1
0x3a88c583,1
0x3aacd139,1
0x3ab70a1f,1
0x3b1e5b6a,1
0x3b1f556b,1
0x3b26a667,1
0x3b3763ae,1
0x3bbaf4f8,1
0x3bccd11,1
0x3bcdc349,1
0x3bcfe3be,1
0x3bde994e,1
0x3bf8759d,1
0x3bfa0954,1
0x3c11d1b3,1
0x3c18f0d0,1
0x3c928cc2,1
0x3ccf1977,1
0x3cdf52ed,1
0x3cea65c,1
0x3d94a4b7,1
0x3d95a77f,1
0x3dda3fca,1
0x3e0ca132,1
0x3e3665a3,1
0x3e667f78,1
0x3f1ab6c3,1
0x3f35cf1,1
0x3f560d5d,1
0x3faf102b,1
0x3fd639ba,1
0x3ff8e6b6,1
0x4012ab2f,1
0x40178d9,1
0x4038e1cb,1
0x40649571,1
0x4089c9e8,1
0x414072b0,1
0x41507468,1
0x417f30a8,1
0x41fa3899,1
0x423edab8,1
0x42ec4d11,1
0x42f7cc69,1
0x43021751,1
0x430ed15b,1
0x4363f844,1
0x4391ce40,1
0x43cb5ec7,1
0x444dcf01,1
0x449b1459,1
0x44c18def,1
0x44d11ed6,1
0x44d29203,1
0x44dc7479,1
0x44f31238,1
0x450cee4a,1
0x453d9350,1
0x455d8b9d,1
0x4569c0e1,1
0x4585f696,1
0x45b33b7d,1
0x45b3fb50,1
0x45b66703,1
0x467e6066,1
0x469f0005,1
0x46dc80e0,1
0x470b53f6,1
0x4781f090,1
0x478a4570,1
0x47c277c2,1
0x48580ae5,1
0x489cd1ed,1
0x48e6ce48,1
0x48f23cc1,1
0x492e7e18,1
0x498204a2,1
0x4996243d,1
0x49c69d6a,1
0x49e65c4b,1
0x4a56ebf2,1
0x4a86ee9b,1
0x4aafbc4c,1
0x4ac7b487,1
0x4b448bb3,1
0x4b894614,1
0x4c188229,1
0x4c3d5693,1
0x4c9c61b9,1
0x4cb34104,1
0x4cb6059d,1
0x4cbaa653,1
0x4d6b104b,1
0x4da7d00a,1
0x4db572f,1
0x4dc83675,1
0x4e0744ac,1
0x4e1f9861,1
0x4ea0b647,1
0x4f19c4f4,1
0x4f26f37e,1
0x4f88e9af,1
0x50239372,1
0x502a5c8b,1
0x510773b4,1
0x512389a9,1
0x514ec400,1
0x514f654f,1
0x5188730e,1
0x51f88378,1
0x52335c4b,1
0x529e727b,1
0x529f32b,1
0x52ac5fd6,1
0x52e55750,1
0x52eb2eeb,1
0x530b9abf,1
0x531e0ad6,1
0x53ccc70c,1
0x5400e1e9,1
0x54843fe7,1
0x548eb8e6,1
0x5499cf8a,1
0x54a22be,1
0x54bc42a6,1
0x54cc1d52,1
0x54cdc282,1
0x54fc89f9,1
0x5543806a,1
0x55cf759b,1
0x55d44a31,1
0x56455e05,1
0x5666e0a2,1
0x56bc2602,1
0x56c0bc73,1
0x579fc585,1
0x57d1a24d,1
0x5844416f,1
0x5882a899,1
0x592c95d8,1
0x5a0091f5,1
0x5a794650,1
0x5ae32e3d,1
0x5b3e9d26,1
0x5bc148c0,1
0x5bc23db,1
0x5bca48fe,1
0x5bdd573f,1
0x5be413ff,1
0x5d08965b,1
0x5d3d576a,1
0x5d704692,1
0x5d918e6f,1
0x5db44de1,1
0x5e18a86b,1
0x5e425ea8,1
0x5e52e0a6,1
0x5e94e9bb,1
0x5eb8dc9d,1
0x5ebeca06,1
0x5f0c80e3,1
0x5f8909fd,1
0x5fa391bb,1
0x5fd9e40,1
0x5ffc179e,1
0x5ffeb841,1
0x60365183,1
0x605287b4,1
0x61a8e890,1
0x61d78eb2,1
0x62b5956,1
0x62f2518a,1
0x630e6a28,1
0x632757eb,1
0x6383878,1
0x63a83e58,1
0x63f9ad68,1
0x649840fb,1
0x64fa342,1
0x6502645,1
0x651c6ac9,1
0x6553cf76,1
0x6554a4b1,1
0x659774fd,1
0x65fde68d,1
0x66503ddc,1
0x66807450,1
0x67383510,1
0x6761b36,1
0x6768fe2b,1
0x678f2075,1
0x67ab39fe,1
0x680c6440,1
0x6811cc00,1
0x68222cfe,1
0x6869b8bd,1
0x68864ff5,1
0x68a19647,1
0x68c42f9f,1
0x68d88fe,1
0x68e34469,1
0x6b3de36,1
0x6b6d5969,1
0x6b6e9ae2,1
0x6c04a33f,1
0x6c1ed365,1
0x6c4f7ead,1
0x6ce56c1d,1
0x6d03094b,1
0x6d245d30,1
0x6d94a437,1
0x6dafc1b7,1
0x6e09bb58,1
0x6e61aecf,1
0x6f88a802,1
0x70977034,1
0x70d3882f,1
0x70e9b6c2,1
0x712b5674,1
0x718daec2,1
0x71daa6bf,1
0x72205228,1
0x728c05f7,1
0x72b1b3de,1
0x73aa1c0a,1
0x73fe35c7,1
0x742a3333,1
0x745a78c6,1
0x74cfa770,1
0x7502ffe8,1
0x7521e9a3,1
0x75346423,1
0x75a70213,1
0x75aa6502,1
0x75c6c263,1
0x76092e1b,1
0x761033a0,1
0x761d60e1,1
0x763737a9,1
0x769582df,1
0x76a1c6d5,1
0x76c6ae72,1
0x77017e81,1
0x7737cc2e,1
0x776cefd7,1
0x778bc2f1,1
0x779569a0,1
0x783d96a6,1
0x787dca98,1
0x78c03349,1
0x792a01ba,1
0x79388ef0,1
0x7948d146,1
0x79c6ee64,1
0x79e61808,1
0x7a0bc78b,1
0x7a6c4f72,1
0x7a7a21c,1
0x7aa2079c,1
0x7acdf60b,1
0x7ae5dd5c,1
0x7b9168e8,1
0x7bb90b34,1
0x7bebcf1,1
0x7c95c368,1
0x7cc11497,1
0x7cc2d3a2,1
0x7cf5b316,1
0x7cfb0993,1
0x7d3bce64,1
0x7da5f9a9,1
0x7dcc9811,1
0x7dd63556,1
0x7df31538,1
0x7e2605fb,1
0x7e9b40b3,1
0x7ea29ab4,1
0x7eb568b2,1
0x7ebef8ae,1
0x7f434a3f,1
0x7f868dc,1
0x7fb6d662,1
0x80937f0,1
0x80d141ba,1
0x81100f1,1
0x811c8387,1
0x812f0ea,1
0x814a74b0,1
0x815a65ff,1
0x81c9b74f,1
0x81fe9005,1
0x824b5e20,1
0x8262413d,1
0x828f7efa,1
0x8296db8e,1
0x82b895db,1
0x8315f23,1
0x83815a9b,1
0x838779fc,1
0x83bc99ba,1
0x83cd0f61,1
0x83d01fb5,1
0x83df52d4,1
0x83f3b34a,1
0x83fcdfd6,1
0x8408233b,1
0x840e42c6,1
0x84b6fb5e,1
0x84c2649a,1
0x84eccd44,1
0x8510af05,1
0x8554249b,1
0x85671813,1
0x85d89ff9,1
0x85dc0037,1
0x85f8e12,1
0x8603179a,1
0x8632da43,1
0x8635c2fc,1
0x86bc219,1
0x8703b2c1,1
0x8755d881,1
0x87d761e5,1
0x8809bab9,1
0x8835c83c,1
0x88532e61,1
0x8859675a,1
0x885dafa6,1
0x887e6994,1
0x88860b7e,1
0x88938da3,1
0x88a9f561,1
0x88ab3296,1
0x89648483,1
0x896d5428,1
0x896fd3f5,1
0x89953769,1
0x8b13cd6e,1
0x8b3f454e,1
0x8bee0bf7,1
0x8cddb634,1
0x8d75159a,1
0x8dfbbef5,1
0x8e0e300e,1
0x8e1f763e,1
0x8e473356,1
0x8e93c37,1
0x8f0bcde0,1
0x8f67d1d7,1
0x8f72f0fb,1
0x8f7f422f,1
0x8fa1e7df,1
0x8faa772c,1
0x8fe59717,1
0x8ff0356b,1
0x8ffff3c1,1
0x9013a036,1
0x90269fa7,1
0x90378380,1
0x904166eb,1
0x90ca2769,1
0x90fe95df,1
0x916dc33c,1
0x917f2bec,1
0x92a138a,1
0x92ac601a,1
0x92ad8e37,1
0x92b950d6,1
0x92ba3125,1
0x9315bdf3,1
0x935cae8b,1
0x93fd8492,1
0x945bb50e,1
0x948924f3,1
0x951181e0,1
0x952afbd3,1
0x9561e94b,1
0x957bc4e4,1
0x95938b2c,1
0x95e95a5d,1
0x960c6250,1
0x966c29d8,1
0x968f379d,1
0x9691ef26,1
0x96d94eae,1
0x97342961,1
0x9735b4cf,1
0x973d8e95,1
0x9817d443,1
0x98352c62,1
0x984ee8f4,1
0x987a474f,1
0x99c844ad,1
0x99d22063,1
0x9a05fcf6,1
0x9a28314e,1
0x9a540254,1
0x9a6731e2,1
0x9a6be555,1
0x9a776a20,1
0x9aef5c6b,1
0x9af4fd02,1
0x9b4e898f,1
0x9b7eb6f4,1
0x9b84a9a,1
0x9bd54140,1
0x9c3e211b,1
0x9c43bb15,1
0x9c985398,1
0x9ce14e4c,1
0x9ce61f08,1
0x9cf1c3c8,1
0x9cfc8d52,1
0x9d903466,1
0x9dc364bd,1
0x9e06fa8f,1
0x9e500564,1
0x9e8757a5,1
0x9eb8a197,1
0x9ed1e9df,1
0x9eef901a,1
0x9faff5b3,1
0xa0383510,1
0xa03af8f1,1
0xa0789899,1
0xa082e25f,1
0xa098aa51,1
0xa09c4956,1
0xa1398c62,1
0xa15acb5,1
0xa1c4e807,1
0xa2208c06,1
0xa26e7778,1
0xa27153cf,1
0xa283d810,1
0xa296ab06,1
0xa2e7ee0a,1
0xa328c626,1
0xa3364d39,1
0xa3551bd5,1
0xa39bd275,1
0xa41f2e78,1
0xa51eff00,1
0xa56c72cb,1
0xa59ec913,1
0xa5c209f0,1
0xa672bf13,1
0xa6a6a039,1
0xa6ff8100,1
0xa762d4df,1
0xa8496414,1
0xa84e3227,1
0xa88d3d6d,1
0xa88ebbdf,1
0xa93a80ac,1
0xa93da2d4,1
0xa9c22c9,1
0xaa032f58,1
0xaa272fbe,1
0xaa940ddc,1
0xaaa8fe0a,1
0xaac3a175,1
0xaad8d326,1
0xab4dda21,1
0xab72a161,1
0xaba89063,1
0xabe5f9df,1
0xac1c33ec,1
0xac28f775,1
0xac49c9f1,1
0xac55f56,1
0xad1783fd,1
0xad597594,1
0xad60406,1
0xad7818a0,1
0xad948d1,1
0xada5a7c0,1
0xadc0f4d5,1
0xadff8c72,1
0xae1cb24f,1
0xae221aa6,1
0xae2337b,1
0xae24031d,1
0xae835034,1
0xae8db704,1
0xaef19f40,1
0xafa6d49b,1
0xafb66bf1,1
0xb00254a7,1
0xb0570dcb,1
0xb07f39d1,1
0xb0f01fb7,1
0xb19e9a4d,1
0xb1c7edf1,1
0xb1dfffbb,1
0xb21f9635,1
0xb2576ff5,1
0xb2e0d664,1
0xb3283a3e,1
0xb33963ac,1
0xb33ecd04,1
0xb35896f1,1
0xb3623c6d,1
0xb3a223b4,1
0xb3acc14e,1
0xb3cab598,1
0xb41113e,1
0xb43d2ea7,1
0xb44fb4d9,1
0xb491f491,1
0xb4d2ee5f,1
0xb4d7b78e,1
0xb53ac3e0,1
0xb573a4c1,1
0xb58d38f4,1
0xb5fa629f,1
0xb6568268,1
0xb6ddf222,1
0xb6eacf4,1
0xb6fd21b,1
0xb708c31c,1
0xb7d5af40,1
0xb8549a92,1
0xb8f05799,1
0xb8f681d3,1
0xb8fa5b9,1
0xb92cee42,1
0xb93c9a31,1
0xb93d7cbe,1
0xba08e259,1
0xba3bae2f,1
0xbb37a79a,1
0xbb930df2,1
0xbbbd31d7,1
0xbbdaca71,1
0xbc59de4c,1
0xbc785923,1
0xbc7e65ee,1
0xbcdb47e6,1
0xbcf75948,1
0xbd1b96e0,1
0xbd3837e2,1
0xbd420ce1,1
0xbd696a25,1
0xbd94f7a2,1
0xbd9691d4,1
0xbdb70b02,1
0xbe039a58,1
0xbe2be73b,1
0xbeb1171f,1
0xbecf26cf,1
0xbed313ae,1
0xbf0bbfe4,1
0xc00ac899,1
0xc035fb4c,1
0xc057f56b,1
0xc062d2b4,1
0xc06c0d8e,1
0xc0947a53,1
0xc0fd37eb,1
0xc184aa7b,1
0xc186959b,1
0xc197b65f,1
0xc1c7a86d,1
0xc210226f,1
0xc224ee85,1
0xc27ac43b,1
0xc2b5e265,1
0xc2c8a72a,1
0xc3777dc,1
0xc37c8516,1
0xc3e7dae3,1
0xc485f90b,1
0xc4dd39d9,1
0xc53dcadb,1
0xc6221207,1
0xc62992d1,1
0xc6370a46,1
0xc66f4fb1,1
0xc6c0ee1c,1
0xc737539e,1
0xc767fe64,1
0xc77b3f8a,1
0xc7a7bccc,1
0xc7a7d85,1
0xc8146350,1
0xc816921f,1
0xc81b0422,1
0xc81e322c,1
0xc8bbeada,1
0xc8c8aff4,1
0xc932f9e5,1
0xc94499e0,1
0xc9ec01eb,1
0xc9ed90ff,1
0xc9f9bc3,1
0xca24a493,1
0xca55a226,1
0xca88fda5,1
0xcaa7b6bc,1
0xcab68a38,1
0xcb88947b,1
0xcbc5c1a,1
0xcc6a2942,1
0xcce18803,1
0xcce6b210,1
0xcd2a4910,1
0xcd75af26,1
0xcdae3ddb,1
0xcdde49b7,1
0xce23b03a,1
0xce24808a,1
0xce3c415d,1
0xce3f0c05,1
0xce71b594,1
0xce955ec4,1
0xcf08f118,1
0xcf21833c,1
0xcf419c07,1
0xcf4c17cf,1
0xcf7c0838,1
0xcf9425dd,1
0xcfc5e67,1
0xd08570d1,1
0xd0b70fc2,1
0xd0be4aa5,1
0xd102c357,1
0xd151a956,1
0xd1763179,1
0xd1ad78b7,1
0xd1f7f738,1
0xd265a397,1
0xd273ab68,1
0xd27cc1ee,1
0xd2e147db,1
0xd31fcdef,1
0xd3509c4c,1
0xd3800c28,1
0xd3dacce,1
0xd41cabe7,1
0xd42e669f,1
0xd4a22870,1
0xd4bb1d19,1
0xd4c54805,1
0xd4ea96fc,1
0xd5263220,1
0xd58a2311,1
0xd61ccd47,1
0xd673bf68,1
0xd6c3780e,1
0xd6e62e3a,1
0xd70e0925,1
0xd715d815,1
0xd71eff49,1
0xd7321f98,1
0xd778284e,1
0xd7996277,1
0xd7a18313,1
0xd7b86f50,1
0xd7c06a2d,1
0xd7f2337d,1
0xd822a2c6,1
0xd89bbf3,1
0xd8ae0706,1
0xd8cc8b83,1
0xd8e33637,1
0xd8fefc1c,1
0xd93b976d,1
0xd9524550,1
0xd96ed154,1
0xd982adb5,1
0xd9d66b1d,1
0xd9f63653,1
0xda0d1f0d,1
0xda0f9dcb,1
0xda24fe31,1
0xda7a3e21,1
0xda8afb72,1
0xda8bf315,1
0xdac30af5,1
0xdc4d9bcc,1
0xdc60682b,1
0xdc8bed45,1
0xdc98a9e6,1
0xdd2243df,1
0xdd746ca0,1
0xdd9828a6,1
0xddc2e29f,1
0xddd2b0c0,1
0xddf2905,1
0xde21be9,1
0xde845e84,1
0xdf7574c8,1
0xdf80d538,1
0xdfeff404,1
0xdffa038b,1
0xe02490b5,1
0xe045b4b1,1
0xe081cd10,1
0xe0c5dc05,1
0xe0ecd80c,1
0xe0f43e49,1
0xe100e85c,1
0xe1217ed4,1
0xe12cd48,1
0xe1428f29,1
0xe224d98,1
0xe229c176,1
0xe238b0ed,1
0xe2de56ba,1
0xe31de4d1,1
0xe31f476e,1
0xe3458895,1
0xe381e91c,1
0xe388964a,1
0xe45ea4c5,1
0xe4975c44,1
0xe4a257e5,1
0xe4c2e84f,1
0xe4ddeb4b,1
0xe55962ba,1
0xe56e54e8,1
0xe5c3ea50,1
0xe604c50c,1
0xe612dc06,1
0xe61c125,1
0xe6702509,1
0xe7cd549a,1
0xe7e1668b,1
0xe7f83312,1
0xe8426e8a,1
0xe84824cc,1
0xe8a843e7,1
0xe8c6958f,1
0xe8fe832a,1
0xea25daa2,1
0xea6eb21a,1
0xea71366c,1
0xeaaac0fb,1
0xeabf2d01,1
0xeadf1087,1
0xeae700a9,1
0xeb2967da,1
0xeb4384da,1
0xeb7efb75,1
0xeb941718,1
0xebb55e14,1
0xebcfd94a,1
0xec037e4b,1
0xec2a002d,1
0xec4b55f,1
0xec76160e,1
0xec7e0066,1
0xeca83c6a,1
0xecf0a28d,1
0xed202df7,1
0xed7bc90,1
0xedbf2007,1
0xedd65fa,1
0xedfd7d09,1
0xee3e4bb,1
0xeea4fe48,1
0xef0c3a88,1
0xef43f191,1
0xef6ed945,1
0xef885ae7,1
0xefe32ca2,1
0xeffcf44,1
0xf0610b41,1
0xf07f1608,1
0xf08587a4,1
0xf09f93b3,1
0xf0b2b042,1
0xf0cfdaa0,1
0xf1055aba,1
0xf1167365,1
0xf1ff1208,1
0xf20175a7,1
0xf2099c6b,1
0xf296aadd,1
0xf3db02c3,1
0xf41a71cf,1
0xf429a8c8,1
0xf47b4baa,1
0xf491cf01,1
0xf4b2cf93,1
0xf4db80b5,1
0xf4fa2a34,1
0xf582d13f,1
0xf606e80f,1
0xf6a4dd5b,1
0xf76875aa,1
0xf78a5a79,1
0xf7e190b5,1
0xf811c2d2,1
0xf84748b2,1
0xf8864ec,1
0xf8a9e0fc,1
0xf8c9aacf,1
0xf9743232,1
0xf9b64c60,1
